CompanyName,Name,Legal
"TEGRA INVEST, s.r.o.","TEGRA INVEST, s.r.o.",
"B-five, s. r. o.","B-five, s. r. o.",
"PROFINCON, s.r.o.","PROFINCON, s.r.o.",
Energeticko-Chemický odborový zväz,Energeticko-Chemický odborový zväz,
"KFPE, a.s.","KFPE, a.s.",
"PIGIFIN, s.r.o.","PIGIFIN, s.r.o.",
VEMEX ENERGO s.r.o. v likvidácii,VEMEX ENERGO s.r.o. v likvidácii,
"Lyreco CE, SE",Lyreco CE,SE
"LIGERO, s. r. o.","LIGERO, s. r. o.",
SOFAGOLD s.r.o.,SOFAGOLD s.r.o.,
VAS s.r.o.,VAS s.r.o.,
PRIVATEX PLUS s.r.o.,PRIVATEX PLUS s.r.o.,
PROJEKT-MARKET s. r. o.,PROJEKT-MARKET s. r. o.,
"DLCI Consulting, s. r. o.","DLCI Consulting, s. r. o.",
"OMNIUM CAPITAL, o.c.p., a.s.","OMNIUM CAPITAL, o.c.p., a.s.",
Ing. Magdaléna Beňo Frackowiak ZARIA TRAVEL,Ing. Magdaléna Beňo Frackowiak ZARIA TRAVEL,
V & A Group spol. s r.o.,V & A Group spol. s r.o.,
FinSmart s.r.o. v likvidácii,FinSmart s.r.o. v likvidácii,
"Papier centrum plus, spol. s r.o.","Papier centrum plus, spol. s r.o.",
AERO Vodochody Funding s.r.o.,AERO Vodochody Funding s.r.o.,
"Výskumný ústav ovocných a okrasných drevín a.s., skrátene VÚOOD, a.s.","Výskumný ústav ovocných a okrasných drevín a.s., skrátene VÚOOD, a.s.",
Hurricane Factory a.s.,Hurricane Factory a.s.,
Hurricane Factory Tatralandia s. r. o.,Hurricane Factory Tatralandia s. r. o.,
Mesto Zvolen,Mesto Zvolen,
Rada odborov OZ KOVO U.S. Steel Košice,Rada odborov OZ KOVO U.S. Steel Košice,
"BRICOL - M, spol. s r.o.","BRICOL - M, spol. s r.o.",
"W + W, spol. s r.o.","W + W, spol. s r.o.",
"REA Tatry, s.r.o.","REA Tatry, s.r.o.",
"Svet zdravia, a.s.","Svet zdravia, a.s.",
Rehoľa menších bratov - Františkánov,Rehoľa menších bratov - Františkánov,
"Smartwings Slovakia, s.r.o.","Smartwings Slovakia, s.r.o.",
"INFINITY POWER, a. s.","INFINITY POWER, a. s.",
"KSG invest, j.s.a.","KSG invest, j.s.a.",
"DRUNA, výrobné družstvo","DRUNA, výrobné družstvo",
"W - NOVA, s. r. o.","W - NOVA, s. r. o.",
Goldmann Net s.r.o.,Goldmann Net s.r.o.,
"EKOPRAKTIK, spol. s r.o.","EKOPRAKTIK, spol. s r.o.",
VINÁRSTVO HABSBURG a.s.,VINÁRSTVO HABSBURG a.s.,
"KONŠTRUKTA - TireTech, s. r. o.","KONŠTRUKTA - TireTech, s. r. o.",
Lauled s.r.o.,Lauled s.r.o.,
CMT Invest s. r. o.,CMT Invest s. r. o.,
ALFA FROST s.r.o.,ALFA FROST s.r.o.,
ALFA REY s.r.o.,ALFA REY s.r.o.,
"BENCONT INVESTMENTS, s. r. o.","BENCONT INVESTMENTS, s. r. o.",
"DG-energy, a. s.","DG-energy, a. s.",
"VK Investment, s.r.o.","VK Investment, s.r.o.",
"APOLKA, s.r.o.","APOLKA, s.r.o.",
CF AGRO s.r.o.,CF AGRO s.r.o.,
"PB CASTLE a. s., organizačná zložka","PB CASTLE a. s., organizačná zložka",
"Rímskokatolícka cirkev, farnosť Levice","Rímskokatolícka cirkev, farnosť Levice",
"CKM združenie pre študentov, mládež a učiteľov","CKM združenie pre študentov, mládež a učiteľov",
"UCTAM SVK, s. r. o.","UCTAM SVK, s. r. o.",
ITen s.r.o.,ITen s.r.o.,
Obec Liptovská Teplička,Obec Liptovská Teplička,
Grape St. Capital s.r.o.,Grape St. Capital s.r.o.,
Hyperia Group s.r.o.,Hyperia Group s.r.o.,
NUTRI a.s.,NUTRI a.s.,
IREM Montage a. s.,IREM Montage a. s.,
Odborové združenie železničiarov,Odborové združenie železničiarov,
"LIFE5, j.s.a.","LIFE5, j.s.a.",
Stephanie s.r.o.,Stephanie s.r.o.,
Heliodor Macko s. r. o.,Heliodor Macko s. r. o.,
"AGRAFA, s.r.o.","AGRAFA, s.r.o.",
Zanney s. r. o.,Zanney s. r. o.,
"Verejno - prospešný podnik Senec, a.s.","Verejno - prospešný podnik Senec, a.s.",
vitae družstvo,vitae družstvo,
"SSD Funding, a. s.","SSD Funding, a. s.",
"Trim Invest, a.s.","Trim Invest, a.s.",
Novares s.r.o.,Novares s.r.o.,
TERNO real estate s.r.o.,TERNO real estate s.r.o.,
"UNICORN - ESK, s.r.o.","UNICORN - ESK, s.r.o.",
"365.fintech, a.s.","365.fintech, a.s.",
"TADIA, s.r.o.","TADIA, s.r.o.",
Brainwave s.r.o.,Brainwave s.r.o.,
InnoReal s. r. o.,InnoReal s. r. o.,
"MARZI, s.r.o.","MARZI, s.r.o.",
MP Elektronik spol. s r.o.,MP Elektronik spol. s r.o.,
HOTEL SANUS s. r. o.,HOTEL SANUS s. r. o.,
"KMM Finance, s.r.o.","KMM Finance, s.r.o.",
BPS PARK a. s.,BPS PARK a. s.,
"Autoslužby AZ, s.r.o.","Autoslužby AZ, s.r.o.",
"FIRON, s. r. o.","FIRON, s. r. o.",
"Letisková spoločnosť Žilina, a.s.","Letisková spoločnosť Žilina, a.s.",
Ústredný zväz židovských náboženských obcí v Slovenskej republike,Ústredný zväz židovských náboženských obcí v Slovenskej republike,
"M-MARKET, akciová spoločnosť","M-MARKET, akciová spoločnosť",
TrenTopCars s.r.o.,TrenTopCars s.r.o.,
"Mercurius Pro, o. c. p., a. s.","Mercurius Pro, o. c. p., a. s.",
Slovenská obchodná a priemyselná komora,Slovenská obchodná a priemyselná komora,
"Express Group, a.s","Express Group, a.s",
"Výskumný ústav energetických zariadení, j.s.a.","Výskumný ústav energetických zariadení, j.s.a.",
FINASCO a.s.,FINASCO a.s.,
"Martinská teplárenská, a.s.","Martinská teplárenská, a.s.",
Poľnohospodárske družstvo Nitrianska Blatnica,Poľnohospodárske družstvo Nitrianska Blatnica,
"A&T Group, a. s.","A&T Group, a. s.",
"Finance Group, s. r. o.","Finance Group, s. r. o.",
"Kedros, a. s.","Kedros, a. s.",
Poľnohospodárske družstvo so sídlom v Liptovskom Mikuláši,Poľnohospodárske družstvo so sídlom v Liptovskom Mikuláši,
"KAŠTIEĽ MOJMÍROVCE, a. s.","KAŠTIEĽ MOJMÍROVCE, a. s.",
Družstevná únia Slovenskej republiky,Družstevná únia Slovenskej republiky,
"SMORENT, s. r. o.","SMORENT, s. r. o.",
"BizLead, s. r. o.","BizLead, s. r. o.",
"Malý Dunaj Development, j.s.a.","Malý Dunaj Development, j.s.a.",
RAJ BÝVANIA s.r.o.,RAJ BÝVANIA s.r.o.,
"Poľnohospodárske družstvo ""Čingov"" Smižany","Poľnohospodárske družstvo ""Čingov"" Smižany",
"MSU, s.r.o.","MSU, s.r.o.",
ASV a.s.,ASV a.s.,
Dovers SK s.r.o.,Dovers SK s.r.o.,
PROXENTA Invest s. r. o.,PROXENTA Invest s. r. o.,
"AD REM, s.r.o.","AD REM, s.r.o.",
Obec Pongrácovce,Obec Pongrácovce,
CREATIVE PRO a.s.,CREATIVE PRO a.s.,
REHAK s.r.o.,REHAK s.r.o.,
"ZTS - VÝSKUM A VÝVOJ, a.s.","ZTS - VÝSKUM A VÝVOJ, a.s.",
CEUF j.s.a.,CEUF j.s.a.,
CUBUS s.r.o.,CUBUS s.r.o.,
Simeria s. r. o.,Simeria s. r. o.,
"INTER - SC, spol. s r.o.","INTER - SC, spol. s r.o.",
Atres s. r. o.,Atres s. r. o.,
"PK Management, spol. s r.o.","PK Management, spol. s r.o.",
PERRY MEDIA s.r.o.,PERRY MEDIA s.r.o.,
"ICD Europe, s.r.o.","ICD Europe, s.r.o.",
PB CASTLE a.s.,PB CASTLE a.s.,
Semper Brewery a. s.,Semper Brewery a. s.,
"LEDO, spol. s r.o.","LEDO, spol. s r.o.",
"Nemocnice a polikliniky, n.o.","Nemocnice a polikliniky, n.o.",
NEOXX a. s.,NEOXX a. s.,
Mesto Trenčianske Teplice,Mesto Trenčianske Teplice,
Partizánska 406,Partizánska 406,
"J&T ENERGY FINANCING EUR IV, a. s. v likvidácii","J&T ENERGY FINANCING EUR IV, a. s. v likvidácii",
"T a M trans spedition, s.r.o.","T a M trans spedition, s.r.o.",
"Tandem plus crc, s.r.o.","Tandem plus crc, s.r.o.",
"Construction-SK, s.r.o.","Construction-SK, s.r.o.",
"J&T ENERGY FINANCING EUR III, a.s.","J&T ENERGY FINANCING EUR III, a.s.",
"MARTIMEX - ALFA, akciová spoločnosť","MARTIMEX - ALFA, akciová spoločnosť",
Qinos s.r.o.,Qinos s.r.o.,
Linden Tree Asset Management s. r. o.,Linden Tree Asset Management s. r. o.,
"Lekáreň Panovce, spol. s r.o.","Lekáreň Panovce, spol. s r.o.",
"TD montáže SK, s. r. o.","TD montáže SK, s. r. o.",
Dostupné bývanie s.r.o.,Dostupné bývanie s.r.o.,
"DREKIA, s.r.o.","DREKIA, s.r.o.",
"HABERL Investment, s.r.o.","HABERL Investment, s.r.o.",
CB ECO j.s.a.,CB ECO j.s.a.,
CB SENIOR j. s. a.,CB SENIOR j. s. a.,
PYROposk j. s. a.,PYROposk j. s. a.,
CB MG j. s. a.,CB MG j. s. a.,
CB Senso j. s. a.,CB Senso j. s. a.,
CB BEAM j.s.a.,CB BEAM j.s.a.,
Crowdberry a.s.,Crowdberry a.s.,
Dostupné bývanie Nitra s.r.o.,Dostupné bývanie Nitra s.r.o.,
Dostupné bývanie Dunajská Streda s.r.o.,Dostupné bývanie Dunajská Streda s.r.o.,
Visual Reading j.s.a.,Visual Reading j.s.a.,
"SLOVENSKÁ INVESTIČNÁ SPOLOČNOSŤ, s.r.o.","SLOVENSKÁ INVESTIČNÁ SPOLOČNOSŤ, s.r.o.",
VETROPACK NEMŠOVÁ s.r.o.,VETROPACK NEMŠOVÁ s.r.o.,
OFFERLAND s.r.o.,OFFERLAND s.r.o.,
"FINSTAV, spol. s r.o.","FINSTAV, spol. s r.o.",
Poľnohospodárske družstvo Nižný Hrušov,Poľnohospodárske družstvo Nižný Hrušov,
"HIMEX, a.s.","HIMEX, a.s.",
Stelinvest s.r.o.,Stelinvest s.r.o.,
Slovenský zväz bytových družstiev,Slovenský zväz bytových družstiev,
TAM Properties DT a.s.,TAM Properties DT a.s.,
TAM Properties NZ a.s.,TAM Properties NZ a.s.,
Zajo Outdoor s.r.o.,Zajo Outdoor s.r.o.,
Alcatel-Lucent Slovakia a.s.,Alcatel-Lucent Slovakia a.s.,
"Letecké opravovne Trenčín, a.s.","Letecké opravovne Trenčín, a.s.",
RO2 s.r.o.,RO2 s.r.o.,
Twin City VIII s. r. o.,Twin City VIII s. r. o.,
"Snap Clap, a.s.","Snap Clap, a.s.",
GRAMA a.s.,GRAMA a.s.,
Ing.Jozef Horváth-RAMAS,Ing.Jozef Horváth-RAMAS,
Metropolitana s.r.o.,Metropolitana s.r.o.,
RE Development s.r.o.,RE Development s.r.o.,
Frambor s.r.o.,Frambor s.r.o.,
"Belgravia Management, s. r. o.","Belgravia Management, s. r. o.",
"Renaxa, s. r. o.","Renaxa, s. r. o.",
"parkPARK, s.r.o.","parkPARK, s.r.o.",
Synculario j.s.a.,Synculario j.s.a.,
K 2 STUDIO s.r.o.,K 2 STUDIO s.r.o.,
"ENSECO, a.s.","ENSECO, a.s.",
"QUO VADIS, s.r.o.","QUO VADIS, s.r.o.",
"BTKA, s.r.o.","BTKA, s.r.o.",
"TAMAT, a. s.","TAMAT, a. s.",
Okresné stavebné bytové družstvo,Okresné stavebné bytové družstvo,
HELSKE SUSTAINED a.s.,HELSKE SUSTAINED a.s.,
AFINES GROUP j.s.a.,AFINES GROUP j.s.a.,
PHI Funding a. s.,PHI Funding a. s.,
"RecAd, s.r.o.","RecAd, s.r.o.",
"Brokeria, a.s.","Brokeria, a.s.",
Neseda j.s.a.,Neseda j.s.a.,
Magic house s. r. o.,Magic house s. r. o.,
WoupPartners a.s.,WoupPartners a.s.,
Nitriensis družstvo v likvidácii,Nitriensis družstvo v likvidácii,
Europa Start s.r.o.,Europa Start s.r.o.,
IPM GF IV j.s.a.,IPM GF IV j.s.a.,
Sufio ESOP j.s.a.,Sufio ESOP j.s.a.,
"Greenlight, a.s.","Greenlight, a.s.",
AppElis.com a.s.,AppElis.com a.s.,
E-Archiv j.s.a.,E-Archiv j.s.a.,
Energy & RE Capital j.s.a.,Energy & RE Capital j.s.a.,
SK Dental s.r.o.,SK Dental s.r.o.,
BALEM s. r. o.,BALEM s. r. o.,
EFFECTIVE STAV j.s.a.,EFFECTIVE STAV j.s.a.,
Mesto Holíč,Mesto Holíč,
VINOHRADY HABSBURG a.s.,VINOHRADY HABSBURG a.s.,
TAM Properties ZV a.s.,TAM Properties ZV a.s.,
"EDÍCIA 2018, otvorený podielový fond Eurizon Asset Management Slovakia, správ. spol., a.s.","EDÍCIA 2018, otvorený podielový fond Eurizon Asset Management Slovakia, správ. spol., a.s.",
"Choices, s.r.o.","Choices, s.r.o.",
"printio, s.r.o.","printio, s.r.o.",
Fisher Advisers s.r.o.,Fisher Advisers s.r.o.,
"Frondea, s.r.o.","Frondea, s.r.o.",
LCB Group s.r.o.,LCB Group s.r.o.,
DANBIK s. r. o.,DANBIK s. r. o.,
"OLD HEROLD, s.r.o.","OLD HEROLD, s.r.o.",
"STROJEX, s.r.o.","STROJEX, s.r.o.",
"J&L Trade, s. r. o.","J&L Trade, s. r. o.",
"SWAN, a.s.","SWAN, a.s.",
"JTRE financing 2, s.r.o.","JTRE financing 2, s.r.o.",
TETRA EXTRACTION TECHNOLOGY j. s. a.,TETRA EXTRACTION TECHNOLOGY j. s. a.,
Spoločnosť Božieho Slova,Spoločnosť Božieho Slova,
"Výroba tepla, s. r. o.","Výroba tepla, s. r. o.",
"SOLIDES, s.r.o.","SOLIDES, s.r.o.",
"P.G. DEVELOPMENT GROUP, spol. s r.o.","P.G. DEVELOPMENT GROUP, spol. s r.o.",
"SITEM SLOVAKIA, spol. s r.o.","SITEM SLOVAKIA, spol. s r.o.",
COOP PRODUKT SLOVENSKO,COOP PRODUKT SLOVENSKO,
AGRO - MOLD GROUP s.r.o.,AGRO - MOLD GROUP s.r.o.,
"JTRE Financing, s.r.o.","JTRE Financing, s.r.o.",
"NEXE, a.s.","NEXE, a.s.",
"ILEST, s.r.o.","ILEST, s.r.o.",
"Arca Automotive Holding, j.s.a.","Arca Automotive Holding, j.s.a.",
Koloria a.s.,Koloria a.s.,
"ESPACK, spol. s r.o.","ESPACK, spol. s r.o.",
"Lucron Finance, s.r.o.","Lucron Finance, s.r.o.",
"SCEPUSIUM, družstvo","SCEPUSIUM, družstvo",
SanaClis s.r.o.,SanaClis s.r.o.,
LIVELLO s. r. o.,LIVELLO s. r. o.,
Devito s. r. o.,Devito s. r. o.,
Creative Asset Management s.r.o.,Creative Asset Management s.r.o.,
"DYNAMIK HOLDING, a.s.","DYNAMIK HOLDING, a.s.",
"MLO SLOVAKIA, s.r.o","MLO SLOVAKIA, s.r.o",
"J O L L Y J O K E R , a.s.","J O L L Y J O K E R , a.s.",
CONSAL s.r.o.,CONSAL s.r.o.,
Ultima Payments a.s.,Ultima Payments a.s.,
TATRAVAGÓNKA a.s.,TATRAVAGÓNKA a.s.,
PROFITON a.s.,PROFITON a.s.,
"MJM Consulting,s.r.o.","MJM Consulting,s.r.o.",
STONEBRIDGE CAPITAL s.r.o.,STONEBRIDGE CAPITAL s.r.o.,
"E - RAN GROUP, a. s.","E - RAN GROUP, a. s.",
"E - RAN Property, s. r. o.","E - RAN Property, s. r. o.",
ARCO COM s.r.o.,ARCO COM s.r.o.,
NLC s.r.o.,NLC s.r.o.,
"NOBA - SMOKER, s.r.o.","NOBA - SMOKER, s.r.o.",
JUDr. Vladimír Grznár,JUDr. Vladimír Grznár,
"ALFA GROUP SR, a.s.","ALFA GROUP SR, a.s.",
"LIKORN, j.s.a.","LIKORN, j.s.a.",
PATONG s.r.o.,PATONG s.r.o.,
Occasio s.r.o.,Occasio s.r.o.,
"ABCedu, a.s.","ABCedu, a.s.",
MENTON s.r.o.,MENTON s.r.o.,
Gazdovské družstvo,Gazdovské družstvo,
SLOVENKA2 s.r.o.,SLOVENKA2 s.r.o.,
Slovenská poľnohospodárska univerzita,Slovenská poľnohospodárska univerzita,
"My Fresh Farm, s r.o.","My Fresh Farm, s r.o.",
MSM e-mobility division j. s. a.,MSM e-mobility division j. s. a.,
"SHEA BEAT, a.s.","SHEA BEAT, a.s.",
"CBA Market, s.r.o.","CBA Market, s.r.o.",
"GAMA Consulting, s.r.o.","GAMA Consulting, s.r.o.",
social net s. r. o.,social net s. r. o.,
GREGORR s.r.o.,GREGORR s.r.o.,
Campanula s. r. o.,Campanula s. r. o.,
"Brest, spol s r. o.","Brest, spol s r. o.",
AUDI ALTERAM s. r. o.,AUDI ALTERAM s. r. o.,
REIM Advisors s.r.o.,REIM Advisors s.r.o.,
"DOFTALL, s. r. o.","DOFTALL, s. r. o.",
"NOVOCHEMA, družstvo","NOVOCHEMA, družstvo",
"DNV ENERGO, a.s.","DNV ENERGO, a.s.",
Greenfield D&F s. r. o.,Greenfield D&F s. r. o.,
SAD Prievidza a.s.,SAD Prievidza a.s.,
"LICITOR group, a.s.","LICITOR group, a.s.",
"SOLIDITA, spol. s r.o.","SOLIDITA, spol. s r.o.",
"eMarkets, s.r.o.","eMarkets, s.r.o.",
"Aston Barny, s.r.o.","Aston Barny, s.r.o.",
"KORFIN, s.r.o.","KORFIN, s.r.o.",
Veronika Hozáková - Velu,Veronika Hozáková - Velu,
"FinTix, a. s.","FinTix, a. s.",
"LINEA Property, s.r.o.","LINEA Property, s.r.o.",
Dostupné bývanie 04 s.r.o.,Dostupné bývanie 04 s.r.o.,
"EVONA ELECTRONIC, spol. s r.o.","EVONA ELECTRONIC, spol. s r.o.",
CEE Real Estate Group s.r.o.,CEE Real Estate Group s.r.o.,
"TRENTEX Trenčín, spol. s r.o. ""v likvidácii""","TRENTEX Trenčín, spol. s r.o. ""v likvidácii""",
"ECLECTIC, s. r. o.","ECLECTIC, s. r. o.",
"Prime Tourist Resorts, a. s.","Prime Tourist Resorts, a. s.",
"Topus, s. r. o.","Topus, s. r. o.",
MAXIMA s.r.o.,MAXIMA s.r.o.,
Fond výtvarných umení,Fond výtvarných umení,
WIC Europe s.r.o.,WIC Europe s.r.o.,
INTOMETER j.s.a.,INTOMETER j.s.a.,
Liga proti rakovine Slovenskej republiky,Liga proti rakovine Slovenskej republiky,
Združenie za rozvoj urbanizmu,Združenie za rozvoj urbanizmu,
PEMMO spol. s r.o.,PEMMO spol. s r.o.,
"J&T Global Finance IX., s.r.o. v likvidácii","J&T Global Finance IX., s.r.o. v likvidácii",
altFINS j. s. a.,altFINS j. s. a.,
TEMPEST a.s.,TEMPEST a.s.,
"Zone FX, s.r.o.","Zone FX, s.r.o.",
KURHAJEC s.r.o.,KURHAJEC s.r.o.,
Towers Retail s. r. o.,Towers Retail s. r. o.,
"JM - Cresco, s.r.o.","JM - Cresco, s.r.o.",
"VACHEL SK, s.r.o.","VACHEL SK, s.r.o.",
ATL Advisory s.r.o.,ATL Advisory s.r.o.,
"PPC Investments, a. s.","PPC Investments, a. s.",
DOS - TRADING spol. s r.o.,DOS - TRADING spol. s r.o.,
Podielnické družstvo Gočaltovo,Podielnické družstvo Gočaltovo,
Proficio,Proficio,
H2K s.r.o.,H2K s.r.o.,
"Donau farm Padáň, s.r.o.","Donau farm Padáň, s.r.o.",
MoneXy s.r.o.,MoneXy s.r.o.,
"Max-Performance, s.r.o.","Max-Performance, s.r.o.",
"TIMED, s.r.o.","TIMED, s.r.o.",
MABIVIO s. r. o.,MABIVIO s. r. o.,
"RIF Trading, a.s.","RIF Trading, a.s.",
"ICE ICE, j.s.a.","ICE ICE, j.s.a.",
Sovereign Invest a.s.,Sovereign Invest a.s.,
WestBridge Innovative s.r.o.,WestBridge Innovative s.r.o.,
"Capital 4.0, s. r. o.","Capital 4.0, s. r. o.",
ICC s.r.o.,ICC s.r.o.,
SEE RE Three s.r.o.,SEE RE Three s.r.o.,
AZYL Production s.r.o.,AZYL Production s.r.o.,
Media SK Funding s.r.o.,Media SK Funding s.r.o.,
"Burza cenných papierov v Bratislave, a.s.","Burza cenných papierov v Bratislave, a.s.",
COM-therm spol. s r.o.,COM-therm spol. s r.o.,
"Godemar, s.r.o.","Godemar, s.r.o.",
"Zuckermandel, a.s.","Zuckermandel, a.s.",
"MVM, s.r.o.","MVM, s.r.o.",
"Art Force, s. r. o.","Art Force, s. r. o.",
"Morrison, s.r.o.","Morrison, s.r.o.",
MADA klub,MADA klub,
"J&T ENERGY FINANCING EUR V, a.s. v likvidácii","J&T ENERGY FINANCING EUR V, a.s. v likvidácii",
Stanica Nivy s. r. o.,Stanica Nivy s. r. o.,
Spinergo a.s.,Spinergo a.s.,
Spinergo SK a.s.,Spinergo SK a.s.,
"Slovak Asset Management, správ. spol., a.s.","Slovak Asset Management, správ. spol., a.s.",
"BAMAPLAST SLOVAKIA, s.r.o.","BAMAPLAST SLOVAKIA, s.r.o.",
"GALÉRIA MARTIN, s.r.o.","GALÉRIA MARTIN, s.r.o.",
"Comitium, spol. s r.o.","Comitium, spol. s r.o.",
"CBA Slovakia, a.s.","CBA Slovakia, a.s.",
Dagi s.r.o.,Dagi s.r.o.,
CPS components s.r.o.,CPS components s.r.o.,
"AIRY, s.r.o.","AIRY, s.r.o.",
"Svet zdravia Development, a.s.","Svet zdravia Development, a.s.",
JWI SLOVAKIA s. r. o.,JWI SLOVAKIA s. r. o.,
AVIGET j. s. a.,AVIGET j. s. a.,
"Energy Construction Partners, s. r. o.","Energy Construction Partners, s. r. o.",
"Q-termo, s. r. o.","Q-termo, s. r. o.",
"TECHNOLOGICKÉ CENTRUM, spol.s r.o. Košice","TECHNOLOGICKÉ CENTRUM, spol.s r.o. Košice",
Dostupné bývanie 07 s.r.o.,Dostupné bývanie 07 s.r.o.,
"Bytkomfort, s.r.o.","Bytkomfort, s.r.o.",
Golden Oak Capital a. s.,Golden Oak Capital a. s.,
"DAP Consult, s.r.o.","DAP Consult, s.r.o.",
"Pasmanta, spol. s r.o.","Pasmanta, spol. s r.o.",
Židovská náboženská obec Dunajská Streda,Židovská náboženská obec Dunajská Streda,
SB - Technology j. s. a.,SB - Technology j. s. a.,
Nuppu Housing s. r. o.,Nuppu Housing s. r. o.,
MARINGSK s.r.o.,MARINGSK s.r.o.,
Peter Jarabica SERVIS METAL,Peter Jarabica SERVIS METAL,
Exponea s.r.o.,Exponea s.r.o.,
Grand Tn - Reality s.r.o.,Grand Tn - Reality s.r.o.,
"Signs.sk, s.r.o.","Signs.sk, s.r.o.",
HB REAVIS Finance SK V s. r. o.,HB REAVIS Finance SK V s. r. o.,
"CB Group, a.s.","CB Group, a.s.",
3 Energy s.r.o.,3 Energy s.r.o.,
"Donau farm Kalná, s.r.o.","Donau farm Kalná, s.r.o.",
CMC Investments s.r.o.,CMC Investments s.r.o.,
Tren Group s.r.o.,Tren Group s.r.o.,
NADACIA STARS FOR STARS,NADACIA STARS FOR STARS,
ACS teplo j.s.a.,ACS teplo j.s.a.,
EVPÚ a.s.,EVPÚ a.s.,
"ZO OZ pri Allianz-Slovenskej poisťovni, a.s. ústredie","ZO OZ pri Allianz-Slovenskej poisťovni, a.s. ústredie",
Zdravie pre všetkých s. r. o.,Zdravie pre všetkých s. r. o.,
ZZ Solutions s.r.o.,ZZ Solutions s.r.o.,
NeatDev s. r. o.,NeatDev s. r. o.,
Telovýchovná jednota Záhoran SENICA,Telovýchovná jednota Záhoran SENICA,
"K&K welding, s.r.o.","K&K welding, s.r.o.",
Akadémia ozbrojených síl generála Milana Rastislava Štefánika,Akadémia ozbrojených síl generála Milana Rastislava Štefánika,
AutoOlymp s.r.o.,AutoOlymp s.r.o.,
JUST SLOVENSKO s.r.o.,JUST SLOVENSKO s.r.o.,
DVLOPER s.r.o.,DVLOPER s.r.o.,
"Rímskokatolícka cirkev, farnosť Poprad","Rímskokatolícka cirkev, farnosť Poprad",
TradexpoService s.r.o.,TradexpoService s.r.o.,
"DL asset, s. r. o.","DL asset, s. r. o.",
"SLOGER, j.s.a.","SLOGER, j.s.a.",
"VANES SLOVAKIA, s.r.o.","VANES SLOVAKIA, s.r.o.",
"Erste Asset Management GmbH, Global Renta, o.p.f.","Erste Asset Management GmbH, Global Renta, o.p.f.",
Poľnohospodárske družstvo Mestečko,Poľnohospodárske družstvo Mestečko,
"AM SLSP Privátny fond krátkodobých investícií, o.p.f.","AM SLSP Privátny fond krátkodobých investícií, o.p.f.",
"Erste Asset Management GmbH, Erste Private Banking Conservative, o.p.f.","Erste Asset Management GmbH, Erste Private Banking Conservative, o.p.f.",
"AM SLSP Privátny fond pravidelných výnosov, o.p.f.","AM SLSP Privátny fond pravidelných výnosov, o.p.f.",
"Erste Asset Management GmbH, ESG MIX Aktív, o.p.f.","Erste Asset Management GmbH, ESG MIX Aktív, o.p.f.",
"Erste Asset Management GmbH, ESG MIX Balans, o.p.f.","Erste Asset Management GmbH, ESG MIX Balans, o.p.f.",
"Erste Asset Management GmbH, ESG MIX Klasik, o.p.f.","Erste Asset Management GmbH, ESG MIX Klasik, o.p.f.",
PowereX j. s. a.,PowereX j. s. a.,
"Asset Management Slovenskej sporiteľne, správ. spol., a.s., Realitný fond, o.p.f.","Asset Management Slovenskej sporiteľne, správ. spol., a.s., Realitný fond, o.p.f.",
"Erste Asset Management GmbH, Privátny P11, o.p.f.","Erste Asset Management GmbH, Privátny P11, o.p.f.",
"Erste Asset Management GmbH, Svetové akcie, o.p.f.","Erste Asset Management GmbH, Svetové akcie, o.p.f.",
JOMA Gold s. r. o.,JOMA Gold s. r. o.,
Obec Krajná Porúbka,Obec Krajná Porúbka,
New Era Solutions s. r. o.,New Era Solutions s. r. o.,
TurboVision s.r.o.,TurboVision s.r.o.,
Stavebné bytové družstvo Banská Bystrica,Stavebné bytové družstvo Banská Bystrica,
"DOBRÝ ANJEL, n. o.","DOBRÝ ANJEL, n. o.",
"PUMED, s. r. o.","PUMED, s. r. o.",
"Pure Nuts, s.r.o.","Pure Nuts, s.r.o.",
"EFG Slovakia, s.r.o.","EFG Slovakia, s.r.o.",
"Cosmos Transport, a.s.","Cosmos Transport, a.s.",
AMV Slovakia s.r.o.,AMV Slovakia s.r.o.,
GRIT s. r. o.,GRIT s. r. o.,
"LOAN MANAGEMENT II, a. s.","LOAN MANAGEMENT II, a. s.",
CLASA j. s. a.,CLASA j. s. a.,
ARIGA s.r.o.,ARIGA s.r.o.,
IKZ a. s.,IKZ a. s.,
"Power Solutions, s.r.o.","Power Solutions, s.r.o.",
BSG MONT s.r.o.,BSG MONT s.r.o.,
Kia Slovakia s. r. o.,Kia Slovakia s. r. o.,
"TEPLÁREŇ Považská Bystrica, s.r.o.","TEPLÁREŇ Považská Bystrica, s.r.o.",
"Trnavská teplárenská, a.s.","Trnavská teplárenská, a.s.",
Slovenská výtvarná únia,Slovenská výtvarná únia,
"Brayton&Co.NXT, s.r.o.","Brayton&Co.NXT, s.r.o.",
"M&J capital, s.r.o.","M&J capital, s.r.o.",
MONET INVESTMENTS a.s.,MONET INVESTMENTS a.s.,
SMART LIFE SYSTEM s.r.o.,SMART LIFE SYSTEM s.r.o.,
SonicWaves j.s.a.,SonicWaves j.s.a.,
"Glocin Services, s.r.o.","Glocin Services, s.r.o.",
"MOSAP, a.s.","MOSAP, a.s.",
"Pezinské tehelne - Paneláreň, a.s.","Pezinské tehelne - Paneláreň, a.s.",
